;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-5b2c241e-7421-493c-8ee6-208c087077d6;B;Beaufort;;;Overig;162;2011-06-10;2100-01-01
Id-63e28810-4cda-464b-8202-dfc7ec5863bf;oD;"Duitse graad";;;Overig;9;2011-06-10;2100-01-01
Id-8695ec38-0215-4388-a98f-ea13911cef2d;EBC;"European Brewery Convention Turbidity Unit";;;Overig;286;2013-10-19;2100-01-01
Id-d4ba5e5d-5c87-45a1-8473-66f53b304a29;FNU;"Formazine Nephelometric Unit";;;Overig;287;2013-10-19;2100-01-01
Id-aeeb572f-5931-44a7-9b35-df521370308d;FTU;"Formazine Turbidity Unit";;;Overig;179;2011-06-10;2100-01-01
Id-5a32694e-4f3c-44a2-8873-81398d7a68b5;oF;"Franse graad";;;Overig;358;2020-11-06;2100-01-01
Id-79f86c5a-f639-43d8-a592-7f8c873074b3;JTU;"Jackson Turbidity Unit";;;Overig;195;2011-06-10;2100-01-01
Id-776ce270-bd9d-45c8-9901-e58f246e5016;phi;"Krumbein phi";L;;"SI afgeleide eenheid";341;2018-08-08;2100-01-01
Id-dd435e8d-3679-4478-b061-c04ff071c250;NTU;"Nephelometric Turbidity Unit";;;Overig;258;2011-06-10;2100-01-01
Id-d3af0fd9-75e3-452e-9952-73e09bbac179;TU;"Toxic Unit";;;Overig;266;2011-06-10;2100-01-01
Id-71304c15-606e-4332-8612-bc88ecd5f355;A;ampère;I;1;"SI grondeenheid";161;2011-06-10;2100-01-01
Id-85b7daa8-b0b7-45c0-8323-7bad7dc315c7;bar;bar;M/LT2;100000;"SI niet-SI-eenheid";163;2011-06-10;2100-01-01
Id-b6c1dab2-0f4c-40f9-86dd-e6b7c46b0abb;Bq/kg;"becquerel per kilogram";/MT;1;"SI afgeleide eenheid";164;2011-06-10;2100-01-01
Id-de7f0cc9-737d-4a14-85e6-784e7dfce98f;Bq/m3;"becquerel per kubieke meter";/L3T;1;"SI afgeleide eenheid";165;2011-06-10;2100-01-01
