;Codes;Omschrijving;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-9e012ce7-98de-4189-a66d-c3ab4a72e449;dBZV;"BZV verwijderd";HoedanigheidFractieBasis;163;2011-06-10;2100-01-01
Id-22a9a793-8c05-4bca-9dea-3a41f065128d;dBZVdg;"BZV verwijderd / drooggewicht";HoedanigheidCombinatie;164;2011-06-10;2100-01-01
Id-f7d7fa1e-6089-4adf-aa3e-7533d932f22d;BACTRISLT;Bacterieisolaat;HoedanigheidFractieBasis;973;2023-04-27;2100-01-01
Id-9858e678-be73-4196-bf84-72ef85b68291;dCZV;"CZV verwijderd";HoedanigheidFractieBasis;165;2011-06-10;2100-01-01
Id-0ff384eb-ad79-4bcd-a3e4-a1798ea60fc5;dCZVdg;"CZV verwijderd / drooggewicht";HoedanigheidCombinatie;166;2011-06-10;2100-01-01
Id-cd8c6e43-bfd4-407a-b688-60fcdc8b8a0d;DRIJVD;"Drijvende fractie";HoedanigheidFractieBasis;221;2011-08-05;2100-01-01
Id-d7fe5154-5dfa-4b41-8f4e-ca362f0228a5;EPSG:23031;ED50/UTM31;ReferentiePlaats;230;2016-12-01;2100-01-01
Id-3bd20e3a-078b-4bb0-8b58-85adddbe79dd;EPSG:23032;ED50/UTM32;ReferentiePlaats;231;2016-12-01;2100-01-01
Id-e02d6193-2abd-4943-8109-52de3e4050bb;EPSG:4258;"ETRS89 lengte- en breedtegraden";ReferentiePlaats;503;2016-12-01;2100-01-01
Id-562f1a50-ca81-4c66-b210-25ced4c3f7fc;EPSG:3034;ETRS89-LambertConformConic;ReferentiePlaats;234;2016-12-01;2100-01-01
Id-6483a779-17fc-4589-854e-647abc16f3f8;EPSG:19986;ETRS89-LambertEqualArea;ReferentiePlaats;229;2016-12-01;2100-01-01
Id-d285e9a4-2824-46b1-9e9b-7b68f8f197c5;EMS;"Emerse fractie";HoedanigheidFractieBasis;228;2011-08-05;2100-01-01
