"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
10;"78-99-9";"11DClC3a";"1,1-dichloorpropaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
100;"636-30-6";"245TClAn";"2,4,5-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
101;"95-95-4";"245TClFol";"2,4,5-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
102;"93-76-5";"245T";"2,4,5-trichloorfenoxyazijnzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
103;"93-72-1";"245TP";"2,4,5-trichloorfenoxypropionzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
104;"634-93-5";"246TClAn";"2,4,6-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
106;"88-06-2";"246TClFol";"2,4,6-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
107;"527-60-6";"246TC1yFol";"2,4,6-trimethylfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
108;"NVT";"s2425DClAn";"som 2,4- en 2,5-dichlooraniline";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
109;"NVT";"s2425DClFol";"som 2,4- en 2,5-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-fe5320d6-26bc-416a-a87e-bf0cc4394cff"
1097;"7439-97-6";"Hg";"kwik";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
11;"35822-46-9";"PCDD73";"1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
110;"84989-06-0";"s2425DC1yFol";"som 2,4- en 2,5-dimethylfenol (teerzuurfractie)";"ChemischeStof";"2020-03-13";"2100-01-01";"Geldig";""
111;"53-19-0";"24DDD";"2,4'-dichloordifenyldichloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1112;"7439-91-0";"La";"lanthaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1113;"60-33-3";"linzr";"linolzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1114;"330-55-2";"linrn";"linuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1115;"7439-93-2";"Li";"lithium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1116;"7439-92-1";"Pb";"lood";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1118;"NVT";"KGV";"Korrel grootte verdeling";"Ongedefinieerd";"2011-06-08";"2011-08-26";"Vervallen";""
1118;"NVT";"KGF";"Korrelgroottefractie";"Grootheid";"2011-06-08";"2100-01-01";"Geldig";""
112;"3424-82-6";"24DDE";"2,4'-dichloordifenyldichlooretheen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1121;"NVT";"MGETAL";"M-getal (indicator methyloranje)";"Grootheid";"2011-06-08";"2013-06-30";"Vervallen";""
1121;"NVT";"MGETAL";"M-getal";"Grootheid";"2013-07-01";"2100-01-01";"Geldig";"Id-a945dfd3-4101-49fb-a58f-4b24e8f52b18"
