Unieke identiticatie meetpunt;Datum staalname;Geanalyseerde fractie;Unieke identificatie gemeten parameter;Aanpak kwantificeringsgrens;Resultaat;Unieke identificatie van de eenheid
NL89_HANSWGL;04/01/2023;EB;1082;=;0.0032;µg/L
NL89_HANSWGL;30/01/2023;EB;1082;=;0.0032;µg/L
NL89_HANSWGL;28/02/2023;EB;1082;=;0.0055;µg/L
NL89_HANSWGL;27/03/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;24/04/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;22/06/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;17/07/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;14/08/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;12/09/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;11/10/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;08/11/2023;EB;1082;<;0.0030;µg/L
NL89_HANSWGL;05/12/2023;EB;1082;=;0.0247;µg/L
NL89_HANSWGL;04/01/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;30/01/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;28/02/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;27/03/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;24/04/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;22/06/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;17/07/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;14/08/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;12/09/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;11/10/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;08/11/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;05/12/2023;EB;1083;<;0.0002;µg/L
NL89_HANSWGL;04/01/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;30/01/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;28/02/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;27/03/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;24/04/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;22/06/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;17/07/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;14/08/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;12/09/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;11/10/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;08/11/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;05/12/2023;EB;1101;<;0.0006;µg/L
NL89_HANSWGL;04/01/2023;EB;1103;<;0.0003;µg/L
NL89_HANSWGL;30/01/2023;EB;1103;<;0.0003;µg/L
NL89_HANSWGL;28/02/2023;EB;1103;<;0.0003;µg/L
NL89_HANSWGL;27/03/2023;EB;1103;<;0.0003;µg/L
