locatie_code;locatienaam;locaties_locatie_type;locatie_lat_etrs89;locatie_lon_etrs89;grootheid_code;parameter_code;hoedanigheid_code;compartiment_code;eenheid_code;typering_code;biotaxon_code;orgaan_code;samengestelde_klasse_code;bemonsterings_soort_code;bemonsterings_methode_code;bemonsterings_apparaat_code;meetapparaat_code;waardebewerkings_methode_code;waardebepalings_techniek_code;waardebepalings_methode_code;opdrachtgevende_instantie_code;beherende_instantie_code;analyserende_instantie_code;bemonsterende_instantie_code;reeks_type_code;bemonsteringshoogte_code;referentievlak_code;reeks_srid_org;reeks_x_org;reeks_y_org;interval;eventdatum;eventtijd;event_exnum;event_externe_code;event_resultaattijd;event_waarde;event_waarde_limietsymbool;event_waarde_tekst;status_waarde;event_aquocode;inventarisaties_code;inventarisaties_omschrijving;Identitication unique de la station;Unieke identificatie gemeten parameter;ISC_fraction;has_higher_aquocodes;higher_aquocodes_info
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;T;NVT;NVT;OW;oC;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:FW015;RIZAMON_LAN;RIZAIMMCLLSD;EXT.AWTSVCSDBH;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#710VP002'T0001528278#003;2024-01-10 08:45:00.0;7.26;;+.726E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1301.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;pH;NVT;NVT;OW;DIMSLS;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:FW015;RIZAMON_LAN;RIZAIMMCLLSD;EXT.AWTSVCSDBH;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#710VP008'T0001528279#003;2024-01-10 08:45:00.0;7.71;;+.771E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1302.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;OS;NVT;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:N6484;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA048'T0001528284#008;2024-01-10 08:45:00.0;65.0;;+.650E+02;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1305.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;VERZDGGD;O2;NVT;OW;%;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:FW015;RIZAMON_LAN;RIZAIMMCLLSD;EXT.AWTSVCSDBH;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#710VP038'T0001528281#003;2024-01-10 08:45:00.0;79.0;;+.790E+02;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1311.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;O2;NVT;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:FW015;RIZAMON_LAN;RIZAIMMCLLSD;EXT.AWTSVCSDBH;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#710VP037'T0001528280#003;2024-01-10 08:45:00.0;9.49;;+.949E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1311.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;NH4;Nnf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;0.2;;+.200E+00;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1335.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;Cl;nf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;410.0;;+.410E+03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1337.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;SO4;nf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;110.0;;+.110E+03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1338.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;NO2;Nnf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;0.05;;+.500E-01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1339.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;NO3;Nnf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;3.6;;+.360E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1340.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;U;nf;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:A4414;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#415LS401'T0001528292#004;2024-01-10 08:45:00.0;0.792;;+.792E+00;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1361.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;Ag;nf;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:A4414;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#415LS401'T0001528292#004;2024-01-10 08:45:00.0;0.003;<;+.3E-02;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1368.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;As;nf;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:A4414;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#415LS401'T0001528292#004;2024-01-10 08:45:00.0;2.03;;+.203E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1369.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;Co;nf;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:A4414;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#415LS401'T0001528292#004;2024-01-10 08:45:00.0;0.317;;+.317E+00;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1379.0;EF;no;
