Identitication unique de la station;Date de prélévement;Fraction analysée;Identification unique du paramètre mesuré;Gestion de la Limite de Quantification;Résultat;Identification unique de l'unité;event_aquocode
NL89_SCHAARVODDL;10/01/2024;EB;1301.0;;7.26;oC;0
NL89_SCHAARVODDL;10/01/2024;EB;1302.0;;7.71;DIMSLS;0
NL89_SCHAARVODDL;10/01/2024;;1303.0;;125.0;mS/m;0
NL89_SCHAARVODDL;10/01/2024;EB;1305.0;;65.0;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EB;1311.0;;79.0;%;0
NL89_SCHAARVODDL;10/01/2024;EB;1311.0;;9.49;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1335.0;;0.2;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1337.0;;410.0;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1338.0;;110.0;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1339.0;;0.05;mg/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1340.0;;3.6;mg/l;0
NL89_SCHAARVODDL;10/01/2024;;1345.0;;279.0;mg/l;3
NL89_SCHAARVODDL;10/01/2024;EF;1361.0;;0.792;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1369.0;;2.03;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1379.0;;0.317;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1382.0;;0.133;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1383.0;;17.4;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1385.0;;0.505;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1386.0;;3.16;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1387.0;;0.00144;ug/l;3
NL89_SCHAARVODDL;10/01/2024;EF;1388.0;;0.0328;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1392.0;;3.78;ug/l;0
NL89_SCHAARVODDL;10/01/2024;EF;1433.0;;0.15;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1082.0;;0.0161;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1083.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1101.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1103.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1107.0;;0.00156;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1114.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1115.0;;0.0138;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1117.0;;0.00918;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1118.0;;0.0108;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1119.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1135.0;;0.03;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1140.0;<;0.0007;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1144.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1146.0;;0.00037;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1147.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1148.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1161.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1168.0;<;0.5;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1170.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1172.0;;0.00026;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1173.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1177.0;;0.00589;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1178.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1179.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1181.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1191.0;;0.0534;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1197.0;<;6e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1199.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1200.0;;8.25e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1201.0;;8.96e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1202.0;<;8e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1203.0;;0.000255;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1204.0;;0.0114;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1207.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1208.0;;0.0024;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1235.0;<;0.1;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1263.0;;0.000917;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1269.0;;0.00265;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1272.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1276.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1283.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1286.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1301.0;;5.83;oC;0
NL89_SCHAARVODDL;16/01/2024;EB;1302.0;;7.87;DIMSLS;0
NL89_SCHAARVODDL;16/01/2024;;1303.0;;289.0;mS/m;0
NL89_SCHAARVODDL;16/01/2024;EB;1305.0;;73.0;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1311.0;;81.0;%;0
NL89_SCHAARVODDL;16/01/2024;EB;1311.0;;10.3;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1335.0;;0.37;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1337.0;;900.0;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1338.0;;170.0;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1339.0;;0.04;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1340.0;;3.6;mg/l;0
NL89_SCHAARVODDL;16/01/2024;;1345.0;;492.0;mg/l;3
NL89_SCHAARVODDL;16/01/2024;EF;1361.0;;0.873;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1369.0;;2.42;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1379.0;;0.498;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1382.0;;0.0889;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1383.0;;5.65;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1385.0;;0.541;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1386.0;;3.22;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1387.0;;0.00106;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EF;1388.0;;0.0195;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1392.0;;3.32;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EF;1433.0;;0.11;mg/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1458.0;;0.0109;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1464.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1517.0;<;0.02;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1629.0;<;0.05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1630.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1652.0;<;0.0005;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1688.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1877.0;;0.0027;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1888.0;;3.67e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1935.0;;0.000105;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;1959.0;;0.00423;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2028.0;<;8e-05;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;2879.0;;1.72;ng/l;0
NL89_SCHAARVODDL;16/01/2024;EB;2911.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2912.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2915.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2916.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2919.0;;0.0007;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;2920.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;16/01/2024;EB;5347.0;;0.00809;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;5977.0;;0.00311;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;5978.0;;0.00671;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;5979.0;;0.00562;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;6830.0;;0.00373;ug/l;0
NL89_SCHAARVODDL;16/01/2024;EB;7073.0;<;1.0;mg/l;3
NL89_SCHAARVODDL;30/01/2024;EB;1301.0;;6.17;oC;0
NL89_SCHAARVODDL;30/01/2024;EB;1302.0;;7.84;DIMSLS;0
NL89_SCHAARVODDL;30/01/2024;;1303.0;;434.0;mS/m;0
NL89_SCHAARVODDL;30/01/2024;EB;1305.0;;220.0;mg/l;3
NL89_SCHAARVODDL;30/01/2024;EB;1311.0;;84.0;%;0
NL89_SCHAARVODDL;30/01/2024;EB;1311.0;;10.4;mg/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1335.0;;0.24;mg/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1337.0;;1500.0;mg/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1338.0;;260.0;mg/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1339.0;;0.03;mg/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1340.0;;3.5;mg/l;0
NL89_SCHAARVODDL;30/01/2024;;1345.0;;784.0;mg/l;3
NL89_SCHAARVODDL;30/01/2024;EF;1361.0;;1.08;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1369.0;;2.51;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1379.0;;0.597;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1382.0;;0.0614;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1383.0;;5.92;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1385.0;;0.576;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1386.0;;3.15;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1387.0;;0.00103;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1388.0;;0.0317;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1392.0;;3.63;ug/l;0
NL89_SCHAARVODDL;30/01/2024;EF;1433.0;;0.09;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1082.0;;0.00866;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1083.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1101.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1103.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1107.0;;0.00212;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1114.0;<;0.01;ug/l;0
